Node_Name,Location_X,Location_Y,Objects
MarketY,-46,45,ChessBurger:54;Drone:346;Tissue:6;Toothpaste:7
ShopPlus,-37,90,Towel:20;Milktea:26;SolarPanel:262;Camera:117;Shampoo:26;MedKit:71
RestoExpress,-77,93,Battery:90;Fuel:50
Euler,74,8,Egg:6;Toothpaste:13;Flashlight:20;Laptop:534;Soap:13;Detergent:20
Minsky,-72,-25,FirstAid:57;Soap:10;Water:17;SolarPanel:204;Milktea:35
Dijkstra,-24,63,Laptop:1386;ChessBurger:25;Fuel:71;Juice:15;FirstAid:26;Towel:11
Einstein,-8,-22,Bread:7;BeefBurger:65;Camera:193
MarketPlus,24,-83,MedKit:50;Fuel:63;Flashlight:53;PowerBank:158;Tissue:5;Towel:25
Pauli,93,86,LanCable:52;Noodles:15;Toothpaste:10
ShopExpress,12,32,Battery:85;BeefBurger:95;Egg:5;Fruit:12;Water:8
CornerY,-99,-82,BeefBurger:117;Egg:2
Leibniz,-16,-82,BeefBurger:68;Milktea:38;PowerBank:196;Tissue:9;ChessBurger:40;Towel:23
CafeZone,4,-52,Battery:65;PowerBank:140
RestoSquare,8,5,SolarPanel:181;Bread:17;PowerBank:136;Drone:311;Battery:41
CafeY,-51,-52,Soap:12;Fuel:39;Shampoo:24;FirstAid:60;Milktea:18;SleepingBag:66
RestoBay,66,38,Egg:5;MedKit:50
Boole,4,24,ChessBurger:49;Toothpaste:9;Bread:19;FirstAid:43;Water:14
Hellman,78,87,PowerBank:105;LanCable:13;Tissue:10;Fuel:37;ChessBurger:45;Noodles:5
DepotZone,-88,49,Detergent:12;FirstAid:40;Bread:17;Egg:3;Laptop:1466
Zuse,-37,48,Bread:15;Laptop:834;Egg:5;Shampoo:20;PowerBank:111;Camera:133
CafeBay,1,-67,Soap:5;Fruit:10;MedKit:79;Egg:3
MarketZone,-82,37,Detergent:21;Milktea:17;Fuel:61
Karp,-6,-28,Soap:14;SleepingBag:138;Towel:24
Backus,-98,70,Noodles:6;PowerBank:191;Battery:29;Fuel:64;Milktea:24;MedKit:78
CornerSquare,-47,83,ChessBurger:57;PowerBank:175;Drone:457;Milktea:16
DepotSquare,-77,62,SleepingBag:76;Milktea:35;Bread:13;Water:6;Fruit:14
MartY,13,41,Towel:12;Water:18;Battery:14;Egg:7;LanCable:47
Feynman,41,-63,Fuel:35;Bread:16;Noodles:8;Juice:18;Flashlight:35
McCarthy,70,-74,MedKit:49;Towel:15;Shampoo:15;Laptop:662
CornerX,5,-94,SolarPanel:360;Fruit:15;Flashlight:62
ShopBay,88,-37,FirstAid:49;Flashlight:22;LanCable:40;Battery:38
Chomsky,-49,17,Noodles:8;SleepingBag:63;Flashlight:62;BeefBurger:72
Adleman,2,-16,Egg:10;MedKit:65;Milktea:36;Juice:16
Rivest,-16,-93,Milktea:33;FirstAid:41
MartExpress,-91,-73,Shampoo:26;Juice:9;SolarPanel:347;Fruit:12;SleepingBag:84;Laptop:821
CafeX,-89,81,Water:7;Detergent:21;Flashlight:47;Towel:10;PowerBank:134
CornerBay,59,-20,SolarPanel:409;Noodles:9
Heisenberg,70,4,Toothpaste:7;LanCable:22;Noodles:11;Towel:20
Codd,73,91,Laptop:1131;Camera:170;Noodles:5
BernersLee,-23,-27,Shampoo:29;Flashlight:61;Camera:141
Goldwasser,19,13,PowerBank:93;ChessBurger:30;Detergent:19;Tissue:10;Flashlight:62
Diffie,62,58,Egg:6;SleepingBag:88;MedKit:52;BeefBurger:69
Faraday,-94,-89,Tissue:3;Laptop:1232;MedKit:66
DepotY,61,47,LanCable:35;Toothpaste:8;Tissue:4
ShopY,67,76,MedKit:67;Battery:38
MarketExpress,-55,78,Soap:9;Bread:19;Towel:24;BeefBurger:95;Battery:86;SleepingBag:100
Galileo,93,13,SleepingBag:80;SolarPanel:530;Detergent:25;Shampoo:24;Towel:16;Soap:12
